id,product_description
1,red wireless headphones on a white background
2,leather wallet with gold stitching on a marble surface
3,stainless steel water bottle in a forest setting
4,white running shoes on a wooden floor
5,black smartwatch displayed on a wrist
6,ceramic coffee mug with steam on a kitchen counter
7,sunglasses resting on a sandy beach
8,silver laptop on a minimalist desk
9,scented candle glowing in a dark room
10,potted succulent plant on a windowsill
11,vintage camera on an old wooden table
12,pair of gold earrings on velvet fabric
13,backpack leaning against a mountain rock
14,chocolate cake slice on a white plate
15,acoustic guitar leaning against a brick wall
